id,name,population,SARSCASES,SARSDEATHS,SARSRECOVERED,MERSC,H1N1D,H1N1C,MERSCA,MERSD,CC,CR,CD
SLE,Sierra Leone,5245695,0,0,0,0,0,0,0,0,,,
ARE,United Arab Emirates,4975593,0,0,0,87,6,79,81,11,,,
TKM,Turkmenistan,4940916,0,0,0,0,0,0,0,0,,,
CAF,Central African Republic,4844927,0,0,0,0,0,0,0,0,,,
SGP,Singapore,4701069,206,32,172,0,19,1217,0,0,,,
NOR,Norway,4676305,0,0,0,0,29,1336,0,0,,,
BIH,Bosnia and Herzegovina,4621598,0,0,0,0,0,0,0,0,,,
GEO,Georgia,4600825,0,0,0,0,21,12,0,0,,,
CRI,Costa Rica,4516220,0,0,0,0,52,1596,0,0,,,
HRV,Croatia,4486881,0,0,0,0,26,1500,0,0,,,
MDA,Moldova,4317483,0,0,0,0,35,2,0,0,,,
NZL,New Zealand,4252277,1,0,1,0,20,3199,0,0,,,
IRL,Ireland,4250163,1,0,1,0,24,1173,0,0,,,
COG,"Congo, Republic of the",4125916,0,0,0,0,0,0,0,0,,,
LBN,Lebanon,4125247,0,0,0,2,5,1838,1,0,,,
PRI,Puerto Rico,3977663,0,0,0,0,0,20,0,0,,,
LBR,Liberia,3685076,0,0,0,0,0,0,0,0,,,
ALB,Albania,3659616,0,0,0,0,6,13,0,0,,,
LTU,Lithuania,3545319,0,0,0,0,23,53,0,0,,,
URY,Uruguay,3510386,0,0,0,0,0,0,0,0,,,
PAN,Panama,3410676,0,0,0,0,12,787,0,0,,,
MRT,Mauritania,3205060,0,0,0,0,0,0,0,0,,,
MNG,Mongolia,3086918,9,0,9,0,20,859,0,0,,,
OMN,Oman,2967717,0,0,0,24,31,6093,6,3,,,
ARM,Armenia,2966802,0,0,0,0,3,0,0,0,,,
JAM,Jamaica,2847232,0,0,0,0,7,149,0,0,,,
KWT,Kuwait,2789132,1,0,1,4,30,8193,3,1,,,
PSE,West Bank,2514845,0,0,0,0,0,0,0,0,,,
LVA,Latvia,2217969,0,0,0,0,34,30,0,0,,,
NAM,Namibia,2128471,0,0,0,0,1,72,0,0,,,
MKD,Macedonia,2072086,0,0,0,0,23,27,0,0,,,
BWA,Botswana,2029307,0,0,0,0,0,23,0,0,,,
SVN,Slovenia,2003136,0,0,0,0,19,244,0,0,,,
LSO,Lesotho,1919552,0,0,0,0,0,65,0,0,,,
GMB,"Gambia, The",1824158,0,0,0,0,0,0,0,0,,,
KWT,Kosovo,1815048,0,0,0,0,14,20,0,0,,,
149,Gaza Strip,1604238,0,0,0,0,0,0,0,0,,,
GNB,Guinea-Bissau,1565126,0,0,0,0,0,0,0,0,,,
GAB,Gabon,1545255,0,0,0,0,0,1,0,0,,,
SWZ,Swaziland,1354051,0,0,0,0,0,2,0,0,,,
153,Mauritius,1294104,0,0,0,0,8,69,0,0,,,
EST,Estonia,1291170,0,0,0,0,19,270,0,0,,,
TTO,Trinidad and Tobago,1228691,0,0,0,0,0,0,0,0,,,
TLS,Timor-Leste,1154625,0,0,0,0,0,0,0,0,,,
CYP,Cyprus,1102677,0,0,0,0,0,297,0,0,,,
FJI,Fiji,957780,0,0,0,0,0,234,0,0,,,
QAT,Qatar,840926,0,0,0,19,10,23,13,5,,,
160,Comoros,773407,0,0,0,0,0,0,0,0,,,
GUY,Guyana,748486,0,0,0,0,0,17,0,0,,,
DJI,Djibouti,740528,0,0,0,0,0,9,0,0,,,
163,Bahrain,738004,0,0,0,1,8,1325,0,0,,,
BTN,Bhutan,699847,0,0,0,0,0,6,0,0,,,
MNE,Montenegro,666730,0,0,0,0,7,119,0,0,,,
GNQ,Equatorial Guinea,650702,0,0,0,0,0,0,0,0,,,
SLB,Solomon Islands,609794,0,0,0,0,1,4,0,0,,,
168,Macau,567957,0,0,0,0,0,0,0,0,,,
169,Cape Verde,508659,0,0,0,0,0,62,0,0,,,
LUX,Luxembourg,497538,0,0,0,0,3,333,0,0,,,
ESH,Western Sahara,491519,0,0,0,0,0,0,0,0,,,
SUR,Suriname,486618,0,0,0,0,2,109,0,0,,,
173,Malta,406771,0,0,0,0,5,305,0,0,,,
174,Maldives,395650,0,0,0,0,1,35,0,0,,,
BRN,Brunei,395027,0,0,0,0,0,0,0,0,,,
BLZ,Belize,314522,0,0,0,0,0,42,0,0,,,
BHS,"Bahamas, The",310426,0,0,0,0,0,0,0,0,,,
ISL,Iceland,308910,0,0,0,0,2,200,0,0,,,
179,French Polynesia,291000,0,0,0,0,7,185,0,0,,,
180,Barbados,285653,0,0,0,0,3,154,0,0,,,
181,Mayotte,231139,0,0,0,0,0,0,0,0,,,
NCL,New Caledonia,229993,0,0,0,0,7,507,0,0,,,
183,Netherlands Antilles,228693,0,0,0,0,0,0,0,0,,,
VUT,Vanuatu,221552,0,0,0,0,0,3,0,0,,,
185,Samoa,192001,0,0,0,0,2,138,0,0,,,
186,Sao Tome and Principe,175808,0,0,0,0,0,0,0,0,,,
187,Saint Lucia,160922,0,0,0,0,1,55,0,0,,,
188,Tonga,122580,0,0,0,0,1,20,0,0,,,
189,Virgin Islands,109775,0,0,0,0,0,49,0,0,,,
190,Grenada,107818,0,0,0,0,0,20,0,0,,,
191,"Micronesia, Federated States of",107154,0,0,0,0,0,0,0,0,,,
192,Aruba,104589,0,0,0,0,0,57,0,0,,,
193,Saint Vincent and the Grenadines,104217,0,0,0,0,0,0,0,0,,,
